Out,Fuel,973.61,3/12/2026,Credit,Metrobank Toyota CC,Billed
Out,Reddoorz Socor,1896.00,3/13/2026,Credit,Maya Black CC,Billed
Out,Food Panda - DLM's Dinner,427.00,3/13/2026,Credit,Maya Black CC,Billed
Out,Fuel,509.96,3/14/2026,Credit,Metrobank Toyota CC,Billed
Out,Fuel,1476.00,3/16/2026,Credit,Metrobank Toyota CC,Billed
Out,(1/3) Hospital Bill,22278.61,3/21/2026,Credit,Unionbank CC,Billed
Out,Withdrawal Fee,10.00,3/18/2026,Cash,Landbank,
Out,Fuel,1242.71,3/23/2026,Credit,Metrobank Toyota CC,Billed
Out,Food Panda - Lunch,248.00,3/24/2026,Credit,Maya Black CC,Billed
Out,Food Panda - Lunch,255.20,3/25/2026,Credit,Maya Black CC,Billed
Out,Chowking,385.00,3/29/2026,Credit,Maya Black CC,Billed
Out,Food Panda - Lunch,378.00,3/30/2026,Credit,Maya Black CC,Billed
Out,Fuel,1014.41,3/30/2026,Credit,Metrobank Toyota CC,Billed
Out,Meta Verified,773.25,4/1/2026,Credit,Atome,Billed
Out,Apple,514.47,4/1/2026,Credit,Atome,Billed
Out,YouTube Premium,194.86,4/2/2026,Credit,Atome,Billed
Out,PLDT,2595.00,4/18/2026,Credit,Atome,Billed
Out,PMC-iPad Air,2015.00,4/22/2026,Credit,Unionbank CC,Billed
Out,Netflix,812.43,4/28/2026,Credit,Atome,Billed
Out,Discord Nitro,272.17,4/28/2026,Credit,Atome,Billed
Out,(2/3) Hospital Bill,22278.61,4/21/2026,Credit,Unionbank CC,Billed
Out,Groceries - Gaisano,4968.00,4/5/2026,Credit,Unionbank CC,Billed
Out,Food Panda - Lunch,302.40,4/6/2026,Credit,Maya Black CC,Billed
Out,Fuel,993.80,4/6/2026,Credit,Metrobank Toyota CC,Billed
Out,S&R Pizza Robinsons Iligan,554.80,4/8/2026,Credit,Maya Black CC,Billed
Out,Fuel,1191.84,4/10/2026,Credit,Metrobank Toyota CC,Billed
Out,Grab,165.00,4/12/2026,Credit,Maya Black CC,Billed
Out,Fuel,1792.85,4/16/2026,Credit,Metrobank Toyota CC,Billed
Out,Jollibee - Robinsons Iligan,244.28,4/19/2026,Credit,Maya Black CC,Billed
Out,Food Panda Transactions (various dates),2213.40,4/19/2026,Credit,Maya Black CC,"Billed. Various dates covering April 11-19, 2026"
Out,Pocket Money,4018.00,4/19/2026,Cash,Metrobank Savings,Withdrawn. Includes P18 fee
